Wall time,Step,Value
1517250516.460193,6,0.15625
1517250538.380319,12,0.1583658903837204
1517250552.9777925,16,0.1424153596162796
1517250563.8904784,19,0.1546223908662796
1517250585.7807693,25,0.1468098908662796
1517250629.5658197,37,0.1730143278837204
1517250644.1737409,41,0.1695963591337204
1517250651.461339,43,0.1839192658662796
1517250658.812697,45,0.1892903596162796
1517250662.4648154,46,0.1962890625
1517250669.7573168,48,0.1826171875
1517250691.638404,54,0.2150065153837204
1517250695.2877622,55,0.2198893278837204
1517250698.9370553,56,0.21826171875
1517250702.5817027,57,0.2237955778837204
1517250735.3882315,66,0.2459309846162796
1517250746.3537974,69,0.2615559995174408
1517250757.3024726,72,0.2496744841337204
1517250760.9759574,73,0.24658203125
1517250764.625451,74,0.2854817807674408
1517250768.2718675,75,0.2724609375
1517250786.5946746,80,0.2986653745174408
1517250815.7867572,88,0.3312174379825592
1517250841.3260887,95,0.37158203125
1517250870.5359352,103,0.39892578125
1517250881.4978762,106,0.4337565004825592
1517250885.1516695,107,0.4187825620174408
1517250910.7995267,114,0.47021484375
1517250929.0206501,119,0.50732421875
1517250958.2561193,127,0.53515625
1517250969.179241,130,0.5660807490348816
1517250972.8264353,131,0.58154296875
1517251005.7086618,140,0.5950520634651184
1517251013.018474,142,0.5935872197151184
1517251016.6821852,143,0.59228515625
1517251020.392354,144,0.6031901240348816
1517251045.9362774,151,0.6015625
1517251064.1875646,156,0.6121419072151184
1517251071.4894538,158,0.6162109375
1517251075.127999,159,0.6123046875
1517251089.741016,163,0.6057942509651184
1517251107.9800353,168,0.6114909052848816
1517251111.6321507,169,0.6233723759651184
1517251122.5949583,172,0.61767578125
1517251144.5408754,178,0.6083984375
1517251148.206213,179,0.6173502802848816
1517251155.5173273,181,0.6097005009651184
1517251166.4699528,184,0.6142578125
1517251173.786145,186,0.6199544072151184
1517251177.429279,187,0.61572265625
1517251184.7310994,189,0.6136067509651184
1517251192.0358577,191,0.625
1517251195.6856987,192,0.6236979365348816
1517251221.222461,199,0.6197916865348816
1517251250.446365,207,0.6180012822151184
1517251254.0935557,208,0.6193034052848816
1517251257.7407227,209,0.6204426884651184
1517251272.4027836,213,0.6267903447151184
1517251308.9561412,223,0.6222330927848816
1517251312.6043818,224,0.6355794072151184
1517251319.910264,226,0.625
1517251334.5032406,230,0.6202799677848816
1517251345.468259,233,0.6160481572151184
1517251349.1191473,234,0.6129557490348816
1517251352.7692182,235,0.6178385615348816
1517251363.7240853,238,0.6217448115348816
1517251407.5928357,250,0.6183268427848816
1517251429.4639904,256,0.6326497197151184
1517251440.4182253,259,0.6149088740348816
1517251447.7380118,261,0.6184895634651184
1517251451.3895407,262,0.6253255009651184
1517251458.6812332,264,0.6197916865348816
1517251473.279276,268,0.6302083134651184
1517251487.8650107,272,0.6261393427848816
1517251495.1439133,274,0.62841796875
1517251513.4640167,279,0.6337890625
1517251564.56893,293,0.623046875
1517251582.8321278,298,0.6319987177848816
1517251586.4852915,299,0.6306965947151184
1517251601.0729992,303,0.6173502802848816
1517251604.7301037,304,0.6236979365348816
1517251619.3189158,308,0.6160481572151184
1517251623.0354836,309,0.62451171875
1517251630.3323362,311,0.6248372197151184
1517251641.292777,314,0.6238606572151184
1517251659.5236726,319,0.6298828125
1517251663.1559663,320,0.62060546875
1517251685.0507107,326,0.6251627802848816
1517251688.7030425,327,0.62841796875
1517251692.3538768,328,0.6246744990348816
1517251703.301262,331,0.6300455927848816
1517251736.1424146,340,0.62451171875
1517251743.4858892,342,0.6163737177848816
1517251765.3831763,348,0.6266276240348816
1517251812.8595846,361,0.62060546875
1517251823.7994862,364,0.62841796875
1517251838.4044535,368,0.6267903447151184
1517251852.9927523,372,0.6243489384651184
1517251860.2787042,374,0.6290690302848816
1517251874.9449167,378,0.6207682490348816
1517251878.6024697,379,0.62890625
1517251882.2527447,380,0.6306965947151184
1517251889.5425944,382,0.6204426884651184
1517251907.787486,387,0.6193034052848816
1517251926.000743,392,0.6184895634651184
1517251929.6590874,393,0.6193034052848816
1517251988.1066275,409,0.6253255009651184
1517252013.696095,416,0.6267903447151184
1517252035.6205456,422,0.6173502802848816
1517252039.264508,423,0.6292317509651184
1517252046.5794153,425,0.6272786259651184
1517252068.493601,431,0.6155598759651184
1517252101.3356946,440,0.630859375
1517252108.680548,442,0.6238606572151184
1517252112.3411195,443,0.62744140625
1517252123.2838428,446,0.6202799677848816
1517252145.1849167,452,0.6171875
1517252174.3877764,460,0.6306965947151184
1517252178.0323186,461,0.6321614384651184
1517252189.014849,464,0.62646484375
1517252192.6537158,465,0.6240234375
1517252225.583165,474,0.6209309697151184
1517252229.2426305,475,0.62646484375
1517252269.3626685,486,0.6193034052848816
1517252280.3277278,489,0.6318359375
1517252283.9738877,490,0.62255859375
1517252291.2734182,492,0.63232421875
1517252298.5888317,494,0.62451171875
1517252349.6829574,508,0.63818359375
1517252367.933183,513,0.6267903447151184
1517252375.2366054,515,0.62451171875
1517252386.1578224,518,0.619140625
1517252411.7089262,525,0.62744140625
1517252415.368213,526,0.62451171875
1517252437.2647865,532,0.6197916865348816
1517252444.5504918,534,0.6266276240348816
