Wall time,Step,Value
1517445586.5319028,4,2.3151028156280518
1517445593.7734144,6,2.3076019287109375
1517445597.3734486,7,2.306462049484253
1517445611.8149576,11,2.3044755458831787
1517445615.4256723,12,2.302849769592285
1517445622.6569016,14,2.30438494682312
1517445626.2723672,15,2.3032054901123047
1517445629.8817139,16,2.3041303157806396
1517445633.501392,17,2.3028724193573
1517445637.1193109,18,2.3036959171295166
1517445640.73784,19,2.303809881210327
1517445644.3960485,20,2.3050084114074707
1517445648.0208588,21,2.3038737773895264
1517445662.4813876,25,2.303537130355835
1517445666.0973728,26,2.303814172744751
1517445695.1066277,34,2.3039045333862305
1517445698.7408562,35,2.303999423980713
1517445706.0554707,37,2.3045012950897217
1517445717.014862,40,2.304025411605835
1517445720.661821,41,2.303157091140747
1517445728.1067696,43,2.3035495281219482
1517445731.7485054,44,2.30305552482605
1517445735.3626847,45,2.303602933883667
1517445738.982311,46,2.3034186363220215
1517445746.2580614,48,2.3036816120147705
1517445753.522835,50,2.303084135055542
1517445779.27695,51,2.302753448486328
1517445790.2413683,54,2.3032524585723877
1517445793.9009278,55,2.303001642227173
1517445797.5576193,56,2.3041179180145264
1517445801.1860006,57,2.3031184673309326
1517445804.8482373,58,2.3029134273529053
1517445815.7813191,61,2.3032827377319336
1517445819.411642,62,2.3026530742645264
1517445826.6920044,64,2.3032114505767822
1517445833.986163,66,2.3038718700408936
1517445837.6377332,67,2.302398443222046
1517445841.3020923,68,2.3039982318878174
1517445844.9278193,69,2.3033933639526367
1517445855.8509133,72,2.3035924434661865
1517445859.5029182,73,2.303149461746216
1517445863.1625855,74,2.3026981353759766
1517445866.797443,75,2.302459478378296
1517445874.1008604,77,2.303535223007202
1517445881.3720047,79,2.302593946456909
1517445885.0113127,80,2.303298234939575
1517445903.2668314,85,2.3031370639801025
1517445906.9937449,86,2.3028767108917236
1517445910.6414473,87,2.3023507595062256
1517445914.2931619,88,2.302964687347412
1517445917.922064,89,2.302818536758423
1517445921.5486486,90,2.301862955093384
1517445939.7731276,95,2.3029117584228516
1517445994.112918,103,2.3027350902557373
1517446001.3910367,105,2.3027923107147217
1517446005.0259778,106,2.3026907444000244
1517446008.6771157,107,2.3036048412323
1517446034.2021177,114,2.302520990371704
1517446045.1511655,117,2.30271315574646
1517446052.426922,119,2.3028314113616943
1517446056.060801,120,2.302612066268921
1517446059.704021,121,2.30206298828125
1517446074.2896516,125,2.302457809448242
1517446077.9285612,126,2.3024203777313232
1517446081.5672913,127,2.302795648574829
1517446092.4837499,130,2.302222967147827
1517446096.1291974,131,2.302577257156372
1517446107.0638742,134,2.302696466445923
1517446121.6891947,138,2.30305552482605
1517446129.003047,140,2.3028862476348877
1517446136.3193188,142,2.3025753498077393
1517446139.96342,143,2.3026962280273438
1517446143.679273,144,2.302985906600952
1517446147.345967,145,2.302032947540283
1517446150.9723926,146,2.3032100200653076
1517446154.6159842,147,2.3033804893493652
1517446161.8889816,149,2.302583932876587
1517446191.8267233,151,2.302656650543213
1517446202.7515225,154,2.302722215652466
1517446206.3890703,155,2.3021233081817627
1517446210.0408325,156,2.303027391433716
1517446217.3289204,158,2.302985429763794
1517446220.9813533,159,2.3027331829071045
1517446224.637732,160,2.302766799926758
1517446232.2853816,162,2.3024659156799316
1517446235.926067,163,2.302924394607544
1517446243.4129014,165,2.3024587631225586
1517446247.198971,166,2.3028366565704346
1517446254.511978,168,2.3025319576263428
1517446258.1507518,169,2.3033993244171143
1517446269.1948507,172,2.302659273147583
1517446283.7755213,176,2.302309989929199
1517446287.4052148,177,2.3028876781463623
1517446291.0298688,178,2.301832437515259
1517446294.6588912,179,2.3024041652679443
1517446301.9431603,181,2.3028807640075684
1517446305.6069064,182,2.3026390075683594
1517446312.8702276,184,2.3029682636260986
1517446320.1325436,186,2.3029024600982666
1517446323.764204,187,2.303182601928711
1517446327.393862,188,2.3021373748779297
1517446331.0174966,189,2.302522897720337
1517446338.2768073,191,2.30234694480896
1517446341.9024508,192,2.3028335571289062
1517446367.3361042,199,2.3025453090667725
