Wall time,Step,Value
1517393905.1820574,8144,0.10696180909872055
1517393970.4962046,8157,0.10756071656942368
1517393992.446455,8163,0.1069185733795166
1517394050.8921614,8179,0.10796347260475159
1517394058.2239983,8181,0.10751014947891235
1517394069.1730933,8184,0.10757642984390259
1517394098.4019215,8192,0.10779821127653122
1517394109.4171903,8195,0.10619441419839859
1517394181.022335,8210,0.10998860001564026
1517394192.002153,8213,0.10800115019083023
1517394265.1663418,8233,0.10733161121606827
1517394294.3876262,8241,0.11099058389663696
1517394308.988676,8245,0.11239200085401535
1517394399.644665,8265,0.10921463370323181
1517394447.1269035,8278,0.10704284906387329
1517394505.637832,8294,0.10833262652158737
1517394516.6150787,8297,0.10762222856283188
1517394565.7638776,8306,0.10903749614953995
1517394606.0261917,8317,0.11133864521980286
1517394624.293918,8322,0.1095324158668518
1517394631.6300268,8324,0.10802967101335526
1517394635.272639,8325,0.1082814559340477
1517394649.9413135,8329,0.10631146281957626
1517394712.0857148,8346,0.1080479547381401
1517394810.4774764,8368,0.10781178623437881
1517394828.7675774,8373,0.11074798554182053
1517394883.6525023,8388,0.10893676429986954
1517394905.6145291,8394,0.10543001443147659
1517394923.8445387,8399,0.10875806957483292
1517394966.0181549,8406,0.1073932945728302
1517394980.6262076,8410,0.11181575059890747
1517394987.922601,8412,0.10880482196807861
1517395057.363546,8431,0.10672392696142197
1517395115.8474424,8447,0.10809459537267685
1517395123.1778085,8449,0.10802701115608215
1517395169.9269526,8457,0.10930647701025009
1517395213.8546126,8469,0.10788043588399887
1517395246.7797594,8478,0.10649717599153519
1517395276.0328681,8486,0.10756237059831619
1517395351.1711497,8502,0.10952103137969971
1517395365.807418,8506,0.10814336687326431
1517395579.5080636,8560,0.10776892304420471
1517395583.1640663,8561,0.10712269693613052
1517395645.241041,8578,0.10976509004831314
1517395656.2066872,8581,0.10982117056846619
1517395667.174168,8584,0.10743910074234009
1517395722.0439844,8599,0.1106593981385231
1517395751.3833954,8602,0.10600126534700394
1517395755.0358458,8603,0.10800689458847046
1517395791.6034036,8613,0.10749796777963638
1517395853.753661,8630,0.10945840924978256
1517395861.052976,8632,0.10859502106904984
1517395953.5573385,8653,0.11021693795919418
1517396015.6900537,8670,0.11162357777357101
1517396033.9648252,8675,0.10867434740066528
1517396148.9343386,8702,0.10968279838562012
1517396185.4470513,8712,0.11037889868021011
1517396207.419319,8718,0.11350884288549423
1517396214.7366493,8720,0.10905014723539352
1517396232.9791434,8725,0.10871121287345886
1517396236.6352837,8726,0.10738757997751236
1517396291.4940147,8741,0.10836675018072128
1517396375.7763307,8759,0.10765379667282104
1517396383.0652902,8761,0.10919680446386337
1517396426.8887804,8773,0.10751836746931076
1517396452.5304842,8780,0.10932928323745728
1517396456.1739378,8781,0.11244828253984451
1517396463.4785936,8783,0.10987836867570877
1517396474.4587662,8786,0.10654760152101517
1517396481.7791784,8788,0.10810019820928574
1517396525.6170094,8800,0.1079443097114563
1517396577.9009235,8810,0.11005375534296036
1517396621.774405,8822,0.10982469469308853
1517396640.0489001,8827,0.10755864530801773
1517396753.0477736,8853,0.10989710688591003
1517396767.6789188,8857,0.11208784580230713
1517396782.2792642,8861,0.11229190975427628
1517396785.9215393,8862,0.10790052264928818
1517396811.5537698,8869,0.11019182950258255
1517396844.5002172,8878,0.10749054700136185
1517396859.1397822,8882,0.10967856645584106
1517396873.751112,8886,0.11015322059392929
1517396892.0304077,8891,0.11011373996734619
1517396906.6539319,8895,0.10748780518770218
1517396958.0154822,8904,0.11095565557479858
1517396972.6537952,8908,0.11055956035852432
1517396979.950446,8910,0.10839571803808212
1517396987.262685,8912,0.10947433859109879
1517397012.8447692,8919,0.10926464945077896
1517397031.0911727,8924,0.10846862196922302
1517397038.4542155,8926,0.11070742458105087
1517397056.7617598,8931,0.1085260733962059
1517397064.0752313,8933,0.11077149957418442
1517397078.7181716,8937,0.11045799404382706
1517397093.3632817,8941,0.11023979634046555
1517397115.3079731,8947,0.11042249947786331
1517397118.9594207,8948,0.10823837667703629
1517397219.806999,8971,0.10682841390371323
1517397234.4373615,8975,0.10844840854406357
1517397372.1826923,9008,0.10992944240570068
1517397397.7487385,9015,0.11005986481904984
1517397419.7120996,9021,0.11008695513010025
1517397470.8858347,9035,0.10751014947891235
1517397485.5291066,9039,0.11037091165781021
1517397511.1106708,9046,0.10759047418832779
1517397518.4190826,9048,0.10795710235834122
1517397559.681434,9054,0.10809425264596939
1517397566.9827201,9056,0.10947290062904358
1517397618.170732,9070,0.10797512531280518
1517397621.8270981,9071,0.108903668820858
1517397658.4373062,9081,0.10803887993097305
1517397669.4046707,9084,0.10868439823389053
1517397702.336397,9093,0.1103595718741417
1517397716.9863868,9097,0.10939186811447144
