Wall time,Step,Value
1517393905.1820574,8144,2.273099422454834
1517393970.4962046,8157,2.2738311290740967
1517393992.446455,8163,2.2794246673583984
1517394050.8921614,8179,2.2683522701263428
1517394058.2239983,8181,2.274021863937378
1517394069.1730933,8184,2.273651123046875
1517394098.4019215,8192,2.2745935916900635
1517394109.4171903,8195,2.287555456161499
1517394181.022335,8210,2.2658402919769287
1517394192.002153,8213,2.276197671890259
1517394265.1663418,8233,2.2739970684051514
1517394294.3876262,8241,2.269061326980591
1517394308.988676,8245,2.2631452083587646
1517394399.644665,8265,2.270307779312134
1517394447.1269035,8278,2.27909255027771
1517394505.637832,8294,2.274050712585449
1517394516.6150787,8297,2.2738258838653564
1517394565.7638776,8306,2.2716963291168213
1517394606.0261917,8317,2.2618701457977295
1517394624.293918,8322,2.264045476913452
1517394631.6300268,8324,2.276916265487671
1517394635.272639,8325,2.2722556591033936
1517394649.9413135,8329,2.2753636837005615
1517394712.0857148,8346,2.272052526473999
1517394810.4774764,8368,2.272282361984253
1517394828.7675774,8373,2.26579213142395
1517394883.6525023,8388,2.2770562171936035
1517394905.6145291,8394,2.283125162124634
1517394923.8445387,8399,2.270571708679199
1517394966.0181549,8406,2.2781546115875244
1517394980.6262076,8410,2.258118152618408
1517394987.922601,8412,2.272555351257324
1517395057.363546,8431,2.2729151248931885
1517395115.8474424,8447,2.2732152938842773
1517395123.1778085,8449,2.2749645709991455
1517395169.9269526,8457,2.267688512802124
1517395213.8546126,8469,2.274934768676758
1517395246.7797594,8478,2.276400327682495
1517395276.0328681,8486,2.272820472717285
1517395351.1711497,8502,2.269177198410034
1517395365.807418,8506,2.2712841033935547
1517395579.5080636,8560,2.2730555534362793
1517395583.1640663,8561,2.2738988399505615
1517395645.241041,8578,2.269416093826294
1517395656.2066872,8581,2.264415740966797
1517395667.174168,8584,2.276475429534912
1517395722.0439844,8599,2.2655372619628906
1517395751.3833954,8602,2.281113624572754
1517395755.0358458,8603,2.275289535522461
1517395791.6034036,8613,2.280904769897461
1517395853.753661,8630,2.272334337234497
1517395861.052976,8632,2.275688409805298
1517395953.5573385,8653,2.262681484222412
1517396015.6900537,8670,2.2587850093841553
1517396033.9648252,8675,2.269362449645996
1517396148.9343386,8702,2.2646830081939697
1517396185.4470513,8712,2.2625248432159424
1517396207.419319,8718,2.2563045024871826
1517396214.7366493,8720,2.269662380218506
1517396232.9791434,8725,2.2688510417938232
1517396236.6352837,8726,2.277069330215454
1517396291.4940147,8741,2.2722647190093994
1517396375.7763307,8759,2.2741212844848633
1517396383.0652902,8761,2.2713334560394287
1517396426.8887804,8773,2.274822473526001
1517396452.5304842,8780,2.271953821182251
1517396456.1739378,8781,2.25679612159729
1517396463.4785936,8783,2.262613296508789
1517396474.4587662,8786,2.2783639430999756
1517396481.7791784,8788,2.274580955505371
1517396525.6170094,8800,2.277956962585449
1517396577.9009235,8810,2.2668039798736572
1517396621.774405,8822,2.26279354095459
1517396640.0489001,8827,2.2784435749053955
1517396753.0477736,8853,2.264599561691284
1517396767.6789188,8857,2.255424737930298
1517396782.2792642,8861,2.258626699447632
1517396785.9215393,8862,2.274627685546875
1517396811.5537698,8869,2.26499080657959
1517396844.5002172,8878,2.277005910873413
1517396859.1397822,8882,2.2672126293182373
1517396873.751112,8886,2.2644834518432617
1517396892.0304077,8891,2.2691619396209717
1517396906.6539319,8895,2.2743027210235596
1517396958.0154822,8904,2.26363205909729
1517396972.6537952,8908,2.2655482292175293
1517396979.950446,8910,2.2722525596618652
1517396987.262685,8912,2.2731683254241943
1517397012.8447692,8919,2.2682878971099854
1517397031.0911727,8924,2.2702064514160156
1517397038.4542155,8926,2.262012243270874
1517397056.7617598,8931,2.2707278728485107
1517397064.0752313,8933,2.26413893699646
1517397078.7181716,8937,2.2676403522491455
1517397093.3632817,8941,2.2675793170928955
1517397115.3079731,8947,2.266623020172119
1517397118.9594207,8948,2.2739198207855225
1517397219.806999,8971,2.276101589202881
1517397234.4373615,8975,2.2704098224639893
1517397372.1826923,9008,2.264392614364624
1517397397.7487385,9015,2.2675445079803467
1517397419.7120996,9021,2.2670557498931885
1517397470.8858347,9035,2.280719518661499
1517397485.5291066,9039,2.2624690532684326
1517397511.1106708,9046,2.2737679481506348
1517397518.4190826,9048,2.2716562747955322
1517397559.681434,9054,2.2704570293426514
1517397566.9827201,9056,2.2707407474517822
1517397618.170732,9070,2.2724921703338623
1517397621.8270981,9071,2.2704858779907227
1517397658.4373062,9081,2.27231764793396
1517397669.4046707,9084,2.2687065601348877
1517397702.336397,9093,2.262789011001587
1517397716.9863868,9097,2.2713513374328613
1517397748.1255517,9101,2.2663228511810303
1517397781.0568726,9110,2.264249086380005
1517397784.720387,9111,2.26973295211792
1517397806.628294,9117,2.2683589458465576
1517397810.292592,9118,2.2732412815093994
1517397828.5571754,9123,2.271026372909546
1517397872.3356445,9135,2.2783048152923584
1517397894.2744038,9141,2.2741870880126953
1517397905.2557726,9144,2.2707936763763428
1517397955.6580262,9153,2.266227960586548
1517397995.8416083,9164,2.2679672241210938
1517398065.3762417,9183,2.272796630859375
1517398112.921289,9196,2.2747159004211426
1517398153.5755386,9202,2.2713522911071777
1517398164.513474,9205,2.2643277645111084
1517398171.8230753,9207,2.2608206272125244
1517398186.438349,9211,2.2665603160858154
1517398208.378865,9217,2.2634172439575195
1517398226.6728644,9222,2.2613625526428223
1517398263.1967828,9232,2.2698771953582764
1517398285.1898787,9238,2.2699036598205566
1517398303.4668436,9243,2.2748937606811523
1517398357.00283,9253,2.266589403152466
1517398375.2874994,9258,2.2654714584350586
1517398510.5301044,9295,2.262193441390991
1517398525.178864,9299,2.2805378437042236
1517398528.8241704,9300,2.2773587703704834
1517398550.7451117,9301,2.270920753479004
1517398616.4608724,9319,2.2616586685180664
1517398660.38473,9331,2.2761781215667725
1517398664.033413,9332,2.2753350734710693
1517398685.9567673,9338,2.280198812484741
1517398711.526265,9345,2.262495517730713
1517398823.5962808,9371,2.262122392654419
1517398867.5317607,9383,2.2764008045196533
1517398907.8122776,9394,2.2696590423583984
1517398918.805053,9397,2.265188217163086
1517398929.769913,9400,2.277836322784424
1517399021.3806233,9420,2.26631236076355
1517399043.3031502,9426,2.2777464389801025
1517399068.893916,9433,2.272010564804077
1517399090.8386996,9439,2.2619335651397705
1517399127.4691927,9449,2.263779401779175
1517399165.7905405,9455,2.271993398666382
1517399176.77669,9458,2.2786643505096436
1517399216.951258,9469,2.274315118789673
1517399227.8990326,9472,2.2729852199554443
1517399238.878392,9475,2.275329828262329
1517399242.5349884,9476,2.276982069015503
1517399434.7829847,9524,2.2695705890655518
1517399445.761261,9527,2.2661781311035156
1517399456.7209926,9530,2.2746803760528564
1517399460.3788862,9531,2.2761504650115967
1517399556.6607258,9553,2.269742965698242
1517399600.4983988,9565,2.273268222808838
1517399607.8019552,9567,2.262648820877075
1517399622.4723394,9571,2.256014585494995
1517399637.0906262,9575,2.2730581760406494
1517399651.6926372,9579,2.268655776977539
1517399759.681873,9604,2.277285575866699
1517399763.3384628,9605,2.277139902114868
1517399803.519899,9616,2.2720367908477783
1517399832.791317,9624,2.268873691558838
1517399847.3949919,9628,2.2713534832000732
1517399854.757594,9630,2.259721279144287
1517399916.8751762,9647,2.2749264240264893
1517399989.6704278,9662,2.2761895656585693
1517400004.291409,9666,2.2696797847747803
1517400095.8207254,9691,2.2784621715545654
1517400170.7068176,9707,2.274736166000366
1517400174.3684595,9708,2.269960641860962
1517400229.1734328,9723,2.271156072616577
1517400246.8407223,9727,2.279705286026001
1517400307.2470906,9743,2.2679197788238525
1517400310.8947194,9744,2.2638518810272217
1517400375.3979137,9757,2.2645342350006104
1517400408.2687414,9766,2.265465497970581
1517400426.5488422,9771,2.269268274307251
1517400444.847626,9776,2.2653567790985107
1517400455.8140943,9779,2.2666327953338623
1517400474.0853548,9784,2.2462470531463623
1517400485.1008961,9787,2.260911226272583
1517400529.0284562,9799,2.2700977325439453
1517400576.079257,9807,2.2608511447906494
1517400601.6478748,9814,2.2664411067962646
1517400627.2110703,9821,2.269038200378418
1517400660.064901,9830,2.2783396244049072
1517400674.7155032,9834,2.273371458053589
1517400678.3734677,9835,2.2619149684906006
1517400682.029127,9836,2.276663064956665
1517400689.348035,9838,2.2638347148895264
1517400700.3117766,9841,2.2585837841033936
1517400725.9195538,9848,2.2591001987457275
1517400776.3100257,9857,2.261897325515747
