Wall time,Step,Value
1517591748.5669684,6,2.3078832626342773
1517591770.1569066,12,2.3047640323638916
1517591784.6439488,16,2.304130792617798
1517591795.5639968,19,2.305304765701294
1517591817.1686304,25,2.3024215698242188
1517591860.6702056,37,2.303279161453247
1517591875.168584,41,2.3046810626983643
1517591882.426891,43,2.3035342693328857
1517591889.7188275,45,2.303826093673706
1517591893.3464446,46,2.30298113822937
1517591900.587706,48,2.3033363819122314
1517591939.5719266,54,2.302920341491699
1517591943.192558,55,2.303541898727417
1517591946.8176696,56,2.3033478260040283
1517591950.4372978,57,2.3036720752716064
1517591983.088369,66,2.3033664226531982
1517591993.9366765,69,2.3045403957366943
1517592004.8316529,72,2.3028523921966553
1517592008.464785,73,2.3035852909088135
1517592012.1044643,74,2.3025906085968018
1517592015.7291067,75,2.302905797958374
1517592033.8798401,80,2.3027565479278564
1517592062.986771,88,2.303495168685913
1517592088.608587,95,2.3033077716827393
1517592135.5515642,103,2.3029801845550537
1517592146.456572,106,2.303048849105835
1517592150.085735,107,2.3029282093048096
1517592175.4757771,114,2.302534341812134
1517592193.6068144,119,2.302368402481079
1517592222.6650317,127,2.3025972843170166
1517592233.760021,130,2.3025500774383545
1517592237.3876705,131,2.3018200397491455
1517592270.0012803,140,2.3024044036865234
1517592277.2479572,142,2.302830457687378
1517592280.864579,143,2.30287766456604
1517592284.4922287,144,2.3037819862365723
1517592325.7082384,151,2.3026015758514404
1517592343.895123,156,2.302656412124634
1517592351.1455283,158,2.302729606628418
1517592354.7781918,159,2.3023645877838135
1517592369.3529603,163,2.302726984024048
1517592387.5171175,168,2.302950143814087
1517592391.14828,169,2.302896738052368
1517592402.0252159,172,2.3036210536956787
1517592423.8197012,178,2.3024797439575195
1517592427.4423356,179,2.302464485168457
1517592434.7322414,181,2.3025240898132324
1517592445.6181965,184,2.3038861751556396
1517592452.928777,186,2.303020477294922
1517592456.5604374,187,2.3027427196502686
1517592463.8107226,189,2.3028488159179688
1517592471.068599,191,2.3027751445770264
1517592474.6928241,192,2.302963972091675
1517592500.1184556,199,2.3032217025756836
1517592546.6254504,207,2.3025600910186768
1517592550.2512841,208,2.3029441833496094
1517592553.8704665,209,2.302532911300659
1517592568.3699555,213,2.3026974201202393
1517592604.648488,223,2.3026835918426514
1517592608.2788155,224,2.303121566772461
1517592615.5155208,226,2.302255392074585
1517592630.0745642,230,2.3026256561279297
1517592640.982129,233,2.302401304244995
1517592644.6151338,234,2.3029043674468994
1517592648.2518783,235,2.3026249408721924
1517592659.149042,238,2.303938627243042
1517592702.8251996,250,2.302555799484253
1517592743.0734737,256,2.302008867263794
1517592753.990888,259,2.3022406101226807
1517592761.3017037,261,2.3021280765533447
1517592764.932424,262,2.302833318710327
1517592772.219684,264,2.303041934967041
1517592786.7964022,268,2.3028924465179443
1517592801.380541,272,2.303269386291504
1517592808.6656206,274,2.3021533489227295
1517592827.0014634,279,2.302107810974121
1517592878.0439465,293,2.302053689956665
1517592896.2763298,298,2.3024699687957764
